Source,Target,Weight,cooccur_count
facial expression,moustache,2.158429362604483,3
costume design,fictional character,2.158429362604483,3
beauty,facial expression,2.158429362604483,2
red,yellow,2.158429362604483,2
night,star,2.158429362604483,2
graphic design,yellow,2.158429362604483,2
blue,fire,2.2108967824986188,2
blue,flame,2.2108967824986188,2
action figure,animation,2.2500129127650044,6
orange,yellow,2.265344566520995,4
astronomical object,evening,2.265344566520995,2
bird,film,2.2746223801090055,2
film,knight,2.2746223801090055,2
graphic design,lens flare,2.2839602446883416,2
cg artwork,cloak,2.317127108623541,4
cg artwork,pc game,2.317127108623541,4
fiction,mecha,2.3283543640467954,3
cryptid,fiction,2.3283543640467954,3
armour,mythology,2.3510744405468786,4
armour,cryptid,2.3510744405468786,2
cloak,film,2.37415805365992,3
night,universe,2.380821783940931,4
beauty,blue,2.380821783940931,2
blue,eyebrow,2.380821783940931,2
night,tourist attraction,2.380821783940931,2
cg artwork,knight,2.387516436514939,3
snout,toy,2.3923174227787602,7
happiness,portrait photography,2.4214637684382763,2
facial expression,happiness,2.4214637684382767,3
graphics,sphere,2.4214637684382767,2
action figure,fictional character,2.435963338133392,10
eyelash,facial expression,2.4579896444633906,4
armour,digital compositing,2.4579896444633906,4
armour,fiction,2.4803574574918454,10
robot,toy,2.4918530963296743,3
heat,night,2.5063526660247897,4
evening,lens flare,2.5063526660247897,2
cloud,dusk,2.5063526660247897,2
orange,sunrise,2.5283789723547887,4
breastplate,cg artwork,2.539519529959989,4
cg artwork,helmet,2.539519529959989,2
cg artwork,people in nature,2.539519529959989,2
cg artwork,headpiece,2.539519529959989,2
animated cartoon,toy,2.550746785383243,10
fiction,robot,2.550746785383243,5
science,technology,2.550746785383243,4
darkness,night,2.550746785383243,3
fiction,superhero,2.550746785383243,2
fiction,supernatural creature,2.550746785383243,2
cosplay,fiction,2.550746785383243,2
fiction,personal protective equipment,2.550746785383243,2
astronaut,fiction,2.550746785383243,2
animated cartoon,figurine,2.550746785383243,2
fictional character,mecha,2.5734668618833267,7
fictional character,pc game,2.5734668618833267,7
fictional character,suit actor,2.5734668618833267,2
fictional character,lawn ornament,2.5734668618833267,2
fictional character,squirrel,2.5734668618833267,2
3d modeling,fictional character,2.5734668618833267,2
fictional character,horn,2.5734668618833267,2
fictional character,wildlife,2.5734668618833267,2
action,film,2.5965504749963677,5
film,hood,2.5965504749963677,2
orange,red,2.6279146459057032,6
heat,lens flare,2.631883548108649,2
cg artwork,mythology,2.639055203510903,10
animation,mecha,2.639055203510903,5
cg artwork,cryptid,2.639055203510903,5
astronomy,night,2.6438561897747244,4
beard,hero,2.643856189774725,3
black,eyelash,2.6803820657998387,2
film,hero,2.6896598793878495,8
fiction,mask,2.702749878828293,5
animation,astronaut,2.7094445314023017,3
animation,costume design,2.7094445314023017,3
animation,superhero,2.7094445314023017,3
cg artwork,dragon,2.7094445314023017,3
astronomical object,digital compositing,2.734829849822215,3
lighting,night,2.743391863325639,3
beard,portrait photography,2.743391863325639,3
moustache,portrait photography,2.743391863325639,3
beauty,portrait photography,2.743391863325639,2
eyebrow,portrait photography,2.743391863325639,2
eyebrow,facial expression,2.7433918633256393,3
cloud,sunrise,2.7693870718585836,2
action,action figure,2.7693870718585836,2
blue,hairstyle,2.7958592832197744,2
fire,yellow,2.7958592832197744,2
flame,yellow,2.7958592832197744,2
blue,symmetry,2.7958592832197744,2
cg artwork,demon,2.8025539357937825,4
demon,fiction,2.813781191217037,3
animated cartoon,anime,2.813781191217037,3
anime,fiction,2.813781191217037,3
animated cartoon,bird,2.813781191217037,3
lens flare,night,2.8282807609121523,5
cloak,hero,2.83650126771712,2
anime,armour,2.83650126771712,2
armour,demon,2.83650126771712,2
astronomical object,science,2.850307067242151,4
costume,eyelash,2.850307067242151,2
whiskers,working animal,2.850307067242151,2
orange,sphere,2.850307067242151,2
orange,performing arts,2.850307067242151,2
astronomical object,dusk,2.8503070672421513,3
film,model,2.8595848808301616,3
cartoon,film,2.8595848808301616,3
heat,red,2.868922745409498,3
cat,toy,2.9068905956085183,2
reptile,snout,2.9068905956085187,2
heat,sunset,2.9213901653036336,2
facial expression,skin,2.9360369412680347,3
portrait photography,skin,2.9360369412680347,2
